AREA|CODE
Kalamazoo, MI|108
Kalamazoo-Portage, MI|1186
Kalispell, MT|762
Kalkaska, MI|1057
Kankakee, IL|480
Kansas City, MO|27
Kapaa, HI|738
Kearney, NE|860
Keene, NH|246
Kendallville, IN|610
Kennett, MO|694
Kennewick, WA|123
Kennewick-Richland, WA|1194
Keokuk, IA|1033
Kerrville, TX|290
Ketchikan, AK|891
Key Largo, FL|1075
Key West, FL|254
Kihei, HI|1054
Kill Devil Hills, NC|660
Killeen, TX|95
Killeen-Temple, TX|1177
Kingman, AZ|1050
Kings Mountain, NC|1004
Kingsport, TN|385
Kingsport-Bristol-Bristol, TN|1188
Kingston, NY|152
Kingsville, TX|691
Kinston, NC|273
Kirksville, MO|872
Klamath Falls, OR|258
Knoxville, TN|386
Kokomo, IN|519
La Crosse, WI|186
La Crosse-Onalaska, WI|1220
La Grande, OR|712
La Porte, IN|966
LaGrange, GA|548
Labelle, FL|1014
Laconia, NH|271
Lafayette, IN|1104
Lafayette, LA|86
Lafayette-West Lafayette, IN|435
Lagrange, GA|979
Lake Charles, LA|387
Lake City, FL|547
Lake City, MI|1091
Lake Havasu City, AZ|144
Lake Havasu City-Kingman, AZ|1202
Lakeland, FL|75
Lakeland-Winter Haven, FL|1156
Lakeport, CA|980
Lamesa, TX|913
Lancaster, PA|388
Lanett, AL|1099
Lansing, MI|87
Lansing-East Lansing, MI|1170
Laramie, WY|840
Laredo, TX|129
Las Cruces, NM|139
Las Vegas, NM|846
Las Vegas, NV|389
Las Vegas-Henderson-Paradise, NV|1130
Laurel, MS|765
Laurinburg, NC|841
Lawrence, KS|756
Lawrenceburg, TN|304
Lawton, OK|188
Lebanon, MO|318
Lebanon, NH|930
Lebanon, PA|390
Leesville, LA|1008
Levelland, TX|880
Lewisburg, PA|626
Lewisburg, TN|327
Lewiston, ID|566
Lewiston, ME|212
Lewiston-Auburn, ME|1230
Lewistown, PA|616
Lexington, KY|85
Lexington, NE|878
Lexington-Fayette, KY|1169
Liberal, KS|852
Lillington, NC|1060
Lima, OH|758
Lincoln City, OR|941
Lincoln, IL|328
Lincoln, NE|391
Little Rock, AR|65
Little Rock-North Little Rock-Conway, AR|1152
Lock Haven, PA|653
Logan, ID|910
Logan, UT|195
Logan, WV|838
Logansport, IN|818
London, KY|753
Longview, TX|439
Longview, WA|492
Los Alamos, NM|733
Los Angeles, CA|915
